iter	Passed	Remaining
0	1096	1844749
1	1839	1545730
2	2607	1460087
3	3336	1400674
4	4049	1359081
5	4816	1346169
6	5565	1332548
7	6355	1330738
8	7137	1327569
9	7890	1320138
10	8636	1312800
11	9372	1305147
12	10126	1300824
13	10900	1299547
14	11651	1295628
15	12432	1295288
16	13178	1291469
17	14002	1295209
18	14717	1288929
19	15477	1286954
20	16289	1289192
21	17012	1284441
22	17765	1282211
23	18507	1279299
24	19258	1277195
25	20007	1275098
26	20760	1273282
27	21506	1271187
28	22240	1268485
29	22988	1266677
30	23741	1265181
31	24456	1261776
32	25195	1259776
33	25951	1258623
34	26672	1255914
35	27483	1257348
36	28236	1256163
37	29014	1256013
38	29768	1254860
39	30528	1253938
40	31289	1253108
41	32091	1253874
42	32931	1255993
43	33709	1255677
44	34459	1254330
45	35253	1254575
46	36027	1254080
47	36808	1253797
48	37574	1252987
49	38336	1252071
50	39096	1251088
51	39907	1251713
52	40709	1251999
53	41520	1252529
54	42282	1251576
55	43100	1252233
56	43940	1253448
57	44786	1254801
58	45645	1256412
59	46493	1257644
60	47288	1257401
61	48090	1257327
62	48978	1259452
63	49829	1260533
64	50662	1261110
65	51469	1261001
66	52273	1260794
67	53038	1259656
68	53840	1259391
69	54614	1258478
70	55404	1257924
71	56185	1257150
72	56994	1257003
73	57762	1255950
74	58519	1254652
75	59255	1252949
76	60047	1252410
77	60825	1251595
78	61604	1250809
79	62387	1250097
80	63188	1249732
81	63991	1249401
82	64836	1249851
83	65662	1249940
84	66495	1250120
85	67278	1249337
86	68058	1248522
87	68856	1248025
88	69693	1248213
89	70557	1248863
90	71311	1247567
91	72060	1246172
92	72843	1245393
93	73646	1244938
94	74454	1244572
95	75254	1244046
96	76034	1243200
97	76853	1242984
98	77642	1242278
99	78466	1242118
100	79201	1240561
101	79973	1239589
102	80761	1238862
103	81518	1237664
104	82305	1236928
105	83073	1235915
106	83861	1235189
107	84670	1234780
108	85491	1234529
109	86328	1234497
110	87109	1233655
111	87890	1232815
112	88685	1232185
113	89493	1231709
114	90311	1231380
115	91138	1231158
116	91929	1230439
117	92726	1229801
118	93598	1230152
119	94419	1229809
120	95246	1229544
121	96047	1228933
122	96888	1228827
123	97651	1227735
124	98423	1226744
125	99219	1226067
126	100016	1225403
127	100825	1224872
128	101666	1224729
129	102494	1224409
130	103268	1223460
131	104072	1222853
132	104877	1222254
133	105659	1221388
134	106459	1220740
135	107229	1219739
136	108028	1219062
137	108829	1218416
138	109589	1217308
139	110318	1215863
140	111070	1214689
141	111833	1213626
142	112574	1212346
143	113361	1211546
144	114133	1210606
145	114930	1209922
146	115706	1209012
147	116523	1208535
148	117356	1208225
149	118169	1207687
150	118916	1206492
151	119736	1206025
152	120556	1205563
153	121342	1204753
154	122118	1203852
155	122888	1202892
156	123691	1202253
157	124461	1201292
158	125225	1200274
159	126067	1200002
160	126944	1200055
161	127810	1199994
162	128670	1199874
163	129499	1199453
164	130312	1198878
165	131152	1198543
166	131954	1197860
167	132771	1197310
168	133606	1196920
169	134485	1196925
170	135322	1196532
171	136139	1195966
172	137016	1195925
173	137901	1195940
174	138733	1195484
175	139603	1195352
176	140438	1194920
177	141257	1194337
178	142110	1194043
179	142996	1194023
180	143807	1193363
181	144631	1192809
182	145448	1192199
183	146271	1191637
184	147088	1191020
185	147932	1190614
186	148815	1190524
187	149745	1190794
188	150663	1190960
189	151543	1190815
190	152435	1190749
191	153344	1190815
192	154324	1191416
193	155168	1190961
194	156064	1190892
195	156929	1190582
196	157835	1190577
197	158726	1190446
198	159585	1190074
199	160427	1189573
200	161259	1188990
201	162179	1189046
202	163045	1188705
203	163921	1188429
204	164797	1188147
205	165609	1187405
206	166380	1186367
207	167155	1185358
208	167947	1184472
209	168744	1183620
210	169503	1182507
211	170260	1181380
212	170990	1180072
213	171756	1179019
214	172526	1177994
215	173293	1176952
216	173997	1175488
217	174726	1174195
218	175477	1173056
219	176232	1171949
220	176931	1170472
221	177678	1169314
222	178404	1168029
223	179159	1166935
224	179890	1165688
225	180605	1164344
226	181330	1163070
227	182029	1161637
228	182747	1160324
