iter	Logloss
0	0.6530153895
1	0.6253442718
2	0.5882336214
3	0.5621013167
4	0.537267893
5	0.5130370567
6	0.5010011337
7	0.4883916011
8	0.4773649652
9	0.4657995048
10	0.4513778772
11	0.4410406151
12	0.4322165174
13	0.4216104504
14	0.4123809896
15	0.4046195916
16	0.3908130996
17	0.3855925777
18	0.3722913684
19	0.3629028454
20	0.3544562102
21	0.3492687611
22	0.3437527129
23	0.3368200484
24	0.334319749
25	0.3242985203
26	0.3165255841
27	0.31174915
28	0.3046675002
29	0.2973869019
30	0.2915268492
31	0.2881095547
32	0.2830877887
33	0.2792808957
34	0.2764348368
35	0.2722459271
36	0.2667781676
37	0.2628789206
38	0.2595447354
39	0.2559844117
40	0.2517752303
41	0.2488172401
42	0.2449198051
43	0.2412538061
44	0.237405716
45	0.2328803151
46	0.2303596274
47	0.2274763458
48	0.2247578582
49	0.2210513886
50	0.2172646842
51	0.2146330464
52	0.212683788
53	0.2085495622
54	0.206730081
55	0.2031381525
56	0.2016322865
57	0.1986073772
58	0.1950070976
59	0.1925444876
60	0.188743244
61	0.1865099214
62	0.1834142368
63	0.1803866147
64	0.1792650329
65	0.1764973857
66	0.1742207595
67	0.1714043263
68	0.1687307902
69	0.1670320549
70	0.1661804582
71	0.1649957626
72	0.1633397256
73	0.1615982881
74	0.1600637318
75	0.1586108381
76	0.1570989332
77	0.1562011929
78	0.1543163714
79	0.1533072636
80	0.1518683639
81	0.1503934517
82	0.1493009033
83	0.1483100081
84	0.1471894712
85	0.1461236903
86	0.1452515082
87	0.1444805758
88	0.1436053906
89	0.1427543647
90	0.1417814061
91	0.1413049327
92	0.1403989687
93	0.1398158638
94	0.1392212735
95	0.1385848754
96	0.1377793648
97	0.1368534833
98	0.1361507675
99	0.135621002
100	0.1351250783
101	0.134410704
102	0.1338463154
103	0.1331909219
104	0.1326177517
105	0.1320650882
106	0.1314973452
107	0.1310079762
108	0.1304104026
109	0.130066518
110	0.1294934929
111	0.1290280926
112	0.1284782762
113	0.1279632504
114	0.1275984862
115	0.1272287308
116	0.1267469824
