iter	Passed	Remaining
0	1890	3258110
1	2923	2517030
2	3862	2215781
3	5277	2269507
4	6435	2212600
5	7968	2281565
6	9631	2362421
7	11347	2434051
8	13801	2629909
9	15283	2619624
10	18064	2813164
11	21533	3072151
12	24042	3164333
13	26173	3196951
14	28936	3296779
15	30941	3302985
16	32241	3237470
17	34009	3223308
18	35720	3205437
19	37100	3160974
20	38466	3119443
21	40110	3103116
22	42013	3107173
23	43190	3059358
24	44480	3022918
25	45738	2987054
26	46640	2931450
27	48605	2944113
28	50286	2939173
29	51991	2935810
30	53515	2922612
31	54610	2887545
32	55899	2864431
33	57049	2835695
34	58183	2807791
35	59216	2776610
36	61078	2784842
37	62173	2758520
38	63582	2747092
39	64923	2733280
40	66220	2718265
41	67587	2706698
42	68852	2691640
43	69973	2671712
44	71023	2649976
45	72128	2631126
46	72998	2604639
47	74077	2586541
48	75447	2579064
49	77049	2579633
50	78250	2566931
51	79709	2562970
52	80815	2547980
53	81896	2532726
54	83300	2527792
55	84311	2511281
56	85503	2500592
57	86800	2493271
58	87998	2483361
59	89096	2470938
60	90773	2474699
61	92313	2474592
62	93818	2473524
63	95349	2473130
64	96755	2469492
65	98092	2464195
66	99494	2460643
67	100920	2457699
68	102478	2458005
69	104169	2461380
70	105434	2454684
71	106738	2449047
72	108311	2449613
73	109711	2446275
74	111467	2450799
75	112853	2447147
76	114424	2447487
77	116071	2449410
78	117212	2440694
79	119112	2447752
80	120900	2452337
81	123240	2467808
82	125135	2474070
83	127128	2482035
84	128937	2486225
85	130908	2493356
86	132642	2495814
87	134715	2504476
88	137016	2517094
89	139030	2524184
90	140543	2522060
91	142827	2533627
92	144329	2531206
93	146103	2533501
94	147135	2522980
95	148401	2516635
96	149653	2510163
97	150908	2503842
98	152338	2500498
99	153690	2495932
100	155193	2493856
101	157065	2497656
102	158533	2494971
103	160630	2502130
104	162650	2507912
105	164420	2509734
106	166203	2511698
107	167678	2508962
108	169586	2512675
109	171534	2516875
110	173197	2516821
111	174620	2513289
112	176035	2509678
113	177234	2503041
114	178968	2504000
115	180396	2500667
116	181708	2495777
