iter	Passed	Remaining
0	119	42254
1	225	39717
2	329	38700
3	436	38264
4	542	37940
5	645	37549
6	752	37396
7	858	37223
8	963	37042
9	1070	36916
10	1175	36772
11	1282	36650
12	1388	36518
13	1493	36368
14	1598	36239
15	1704	36110
16	1809	35984
17	1915	35860
18	2021	35740
19	2126	35616
20	2233	35518
21	2337	35385
22	2442	35260
23	2548	35150
24	2655	35053
25	2761	34938
26	2867	34838
27	2972	34716
28	3077	34600
29	3183	34486
30	3288	34371
31	3394	34262
32	3500	34153
33	3605	34044
34	3711	33935
35	3818	33836
36	3924	33732
37	4029	33617
38	4135	33505
39	4242	33410
40	4348	33300
41	4454	33193
42	4560	33088
43	4666	32981
44	4772	32878
45	4878	32770
46	4984	32664
47	5090	32554
48	5195	32447
49	5300	32335
50	5405	32223
51	5512	32118
52	5618	32017
53	5725	31916
54	5832	31815
55	5938	31707
56	6043	31598
57	6149	31489
58	6255	31383
59	6361	31279
60	6467	31170
61	6575	31076
62	6681	30966
63	6786	30858
64	6892	30751
65	6998	30645
66	7104	30537
67	7209	30428
68	7314	30319
69	7421	30215
70	7527	30110
71	7632	30000
72	7738	29894
73	7843	29783
74	7948	29673
75	8054	29567
76	8159	29458
77	8264	29348
78	8370	29245
79	8477	29142
80	8586	29044
81	8694	28945
82	8801	28844
83	8910	28745
84	9018	28647
85	9126	28546
86	9234	28445
87	9341	28344
88	9449	28241
89	9556	28138
90	9664	28036
91	9772	27937
92	9880	27835
93	9988	27734
94	10095	27630
95	10204	27529
96	10312	27429
97	10419	27325
98	10529	27227
99	10640	27132
100	10748	27031
101	10858	26933
102	10965	26827
103	11072	26722
104	11179	26618
105	11286	26513
106	11393	26406
107	11500	26302
108	11608	26198
109	11713	26090
110	11819	25980
111	11926	25877
112	12041	25789
113	12149	25684
114	12261	25590
115	12369	25486
116	12480	25388
117	12588	25283
118	12698	25183
119	12806	25080
120	12916	24979
121	13023	24873
122	13131	24768
123	13239	24663
124	13346	24558
125	13454	24452
126	13562	24348
127	13667	24239
128	13780	24141
129	13891	24042
130	13998	23936
131	14105	23830
132	14213	23725
133	14320	23618
134	14426	23510
135	14534	23404
136	14641	23298
137	14747	23190
138	14866	23101
139	14973	22994
140	15079	22887
141	15186	22780
142	15293	22673
143	15401	22566
144	15509	22461
145	15617	22356
146	15726	22251
147	15834	22146
148	15940	22038
149	16047	21931
150	16155	21825
151	16262	21719
152	16370	21613
153	16477	21506
154	16586	21401
155	16694	21296
156	16801	21189
157	16909	21083
158	17016	20976
159	17123	20869
160	17230	20761
161	17338	20656
162	17445	20549
163	17553	20443
164	17660	20336
165	17767	20229
166	17874	20122
167	17985	20019
168	18092	19912
169	18205	19811
170	18311	19703
171	18418	19596
172	18524	19488
173	18636	19386
174	18744	19280
175	18854	19176
176	18960	19068
177	19067	18960
178	19174	18852
179	19281	18745
180	19387	18638
181	19494	18530
182	19610	18431
183	19716	18323
184	19822	18215
185	19928	18106
186	20034	17998
187	20141	17891
188	20247	17783
189	20354	17676
190	20461	17569
191	20567	17460
192	20674	17354
193	20781	17246
194	20888	17139
195	20995	17032
196	21101	16923
197	21208	16816
198	21315	16709
199	21423	16602
200	21529	16495
201	21635	16387
202	21742	16280
203	21851	16174
204	21956	16065
205	22063	15958
206	22169	15850
207	22276	15743
208	22381	15635
209	22487	15527
210	22593	15419
211	22702	15313
212	22808	15205
213	22914	15097
214	23020	14989
215	23128	14883
216	23235	14776
217	23342	14669
218	23450	14562
219	23556	14455
220	23664	14348
221	23772	14242
222	23882	14136
223	23989	14029
224	24098	13923
225	24208	13818
226	24313	13710
227	24421	13603
228	24528	13496
229	24634	13388
230	24742	13281
231	24849	13174
232	24958	13068
233	25068	12962
234	25176	12856
235	25288	12751
236	25396	12644
237	25502	12537
238	25610	12430
239	25717	12323
240	25823	12215
241	25931	12108
242	26038	12001
243	26145	11894
244	26252	11786
245	26359	11679
246	26467	11572
247	26574	11465
248	26681	11358
249	26788	11251
250	26895	11144
251	27003	11037
252	27110	10930
253	27218	10822
254	27326	10716
255	27433	10609
256	27540	10502
257	27647	10394
258	27754	10287
259	27862	10180
260	27969	10073
261	28076	9966
