RNA Symbol,RNA Category,Species,Tissue/Cell Line,Localization,Score
hsa_circ_0001900,circRNA,Homo sapiens,143B and HOS cells,Cytoplasm,0.932913100536013
circ-REOS,circRNA,Homo sapiens,143B and MG-63 cells,Nucleus,0.836757224078988
hsa_circ_0056285,circRNA,Homo sapiens,143B and U2OS cells,Cytoplasm,0.694505649698505
hsa_circ_0051488,circRNA,Homo sapiens,16HBE cells,Cytoplasm,0.694505649698505
hsa_circ_0000157,circRNA,Homo sapiens,16HBE cells,Cytoplasm,0.836757224078988
hsa_circ_0008402,circRNA,Homo sapiens,16HBE cells,Cytoplasm,0.836757224078988
hsa_circ_0087385,circRNA,Homo sapiens,16HBE cells,Cytoplasm,0.694505649698505
hsa_circ_0040929,circRNA,Homo sapiens,16HBE cells,Cytoplasm,0.694505649698505
hsa_circ_0008657,circRNA,Homo sapiens,16HBE cells and BEAS-2B cells,Nucleus,0.836757224078988
hsa_circ_0008657,circRNA,Homo sapiens,16HBE cells and BEAS-2B cells,Cytoplasm,0.836757224078988
circ-BCBM1,circRNA,Homo sapiens,231-BR cells,Cytoplasm,0.836757224078988
hsa_circ_0080220,circRNA,Homo sapiens,456 brain tumor-initiating cells (BTICs),Cytoplasm,0.943641791621929
hsa_circ_0025030,circRNA,Homo sapiens,5-8F and 6-10B,Cytoplasm,0.836757224078988
hsa_circ_0001756,circRNA,Homo sapiens,5-8F cells,Cytoplasm,0.904945420481312
hsa_circ_0054537,circRNA,Homo sapiens,786-O and A498 cells,Cytoplasm,0.836757224078988
hsa_circ_0001970,circRNA,Homo sapiens,786-O and ACHN cells,Cytoplasm,0.932913100536013
hsa_circ_0020303,circRNA,Homo sapiens,786-O and CAKI-1 cells,Cytoplasm,0.836757224078988
hsa_circ_0001588,circRNA,Homo sapiens,A172 and U251 cells,Cytoplasm,0.904945420481312
hsa_circ_0006168,circRNA,Homo sapiens,A172 cells,Cytoplasm,0.904945420481312
hsa_circ_0049116,circRNA,Homo sapiens,A2780 and SK-OV-3 cells,Cytoplasm,0.694505649698505
hsa_circ_0049116,circRNA,Homo sapiens,A2780 and SK-OV-3 cells,Nucleus,0.694505649698505
