RNA Symbol,RNA Category,Species,Tissue/Cell Line,Localization,Score
TPRG1-AS1,lncRNA,Homo sapiens,human aortic smooth muscle cells,Cytoplasm,0.694505649698505
GAS5,lncRNA,Homo sapiens,human embryonic kidney cell line HEK293T,Mitochondrion,0.890460238360382
NORAD,lncRNA,Homo sapiens,human embryonic kidney cell line HEK293T,Mitochondrion,0.795006069178413
KB-1460A1.5,lncRNA,Homo sapiens,human embryonic kidney cell line HEK293T,Mitochondrion,0.694505649698505
SYNE3,lncRNA,Homo sapiens,human embryonic kidney cell line HEK293T,Mitochondrion,0.694505649698505
LINC00648,lncRNA,Homo sapiens,human embryonic kidney cell line HEK293T,Mitochondrion,0.795006069178413
CTD-2007L18.5,lncRNA,Homo sapiens,human embryonic kidney cell line HEK293T,Mitochondrion,0.694505649698505
LINC00205,lncRNA,Homo sapiens,human embryonic kidney cell line HEK293T,Mitochondrion,0.795006069178413
HCG11,lncRNA,Homo sapiens,human embryonic kidney cell line HEK293T,Mitochondrion,0.795006069178413
CTD-2086O20.3,lncRNA,Homo sapiens,human embryonic kidney cell line HEK293T,Mitochondrion,0.694505649698505
CTC-462L7.1,lncRNA,Homo sapiens,human embryonic kidney cell line HEK293T,Mitochondrion,0.694505649698505
CTD-2292M16.8,lncRNA,Homo sapiens,human embryonic kidney cell line HEK293T,Mitochondrion,0.694505649698505
CTC-428G20.3,lncRNA,Homo sapiens,human embryonic kidney cell line HEK293T,Mitochondrion,0.694505649698505
FENDRR,lncRNA,Homo sapiens,human embryonic kidney cell line HEK293T,Mitochondrion,0.795006069178413
CTA-445C9.15,lncRNA,Homo sapiens,human embryonic kidney cell line HEK293T,Mitochondrion,0.694505649698505
ERCC6L2-AS1,lncRNA,Homo sapiens,human embryonic kidney cell line HEK293T,Mitochondrion,0.694505649698505
LINC00652,lncRNA,Homo sapiens,human embryonic kidney cell line HEK293T,Mitochondrion,0.795006069178413
LINC00494,lncRNA,Homo sapiens,human embryonic kidney cell line HEK293T,Mitochondrion,0.795006069178413
LINC00467,lncRNA,Homo sapiens,human embryonic kidney cell line HEK293T,Mitochondrion,0.795006069178413
SNORD3B-1,lncRNA,Homo sapiens,human embryonic kidney cell line HEK293T,Mitochondrion,0.694505649698505
CTD-2528L19.6,lncRNA,Homo sapiens,human embryonic kidney cell line HEK293T,Mitochondrion,0.694505649698505
MIR210HG,lncRNA,Homo sapiens,human embryonic kidney cell line HEK293T,Mitochondrion,0.694505649698505
FAM230B,lncRNA,Homo sapiens,osteosarcoma cell,Cytoplasm,0.943641791621929
LINC00511,lncRNA,Homo sapiens,breast cancer tissues,Cytoplasm,0.947651008001197
XIST,lncRNA,Homo sapiens,brain tissue,Nucleus,0.970938422441613
MALAT1,lncRNA,Homo sapiens,brain tissue,Nucleus,0.969791900426803
LINC00652,lncRNA,Homo sapiens,brain tissue,Cytosol,0.396358685090047
TP53TG1,lncRNA,Homo sapiens,brain tissue,Cytosol,0.396358685090047
FAM87A,lncRNA,Homo sapiens,brain tissue,Cytosol,0.396358685090047
LINC00839,lncRNA,Homo sapiens,brain tissue,Cytosol,0.396358685090047
OSER1-DT,lncRNA,Homo sapiens,brain tissue,Cytosol,0.396358685090047
EPB41L4A-AS1,lncRNA,Homo sapiens,brain tissue,Cytosol,0.396358685090047
LINC00092,lncRNA,Homo sapiens,brain tissue,Cytosol,0.396358685090047
TRAM2-AS1,lncRNA,Homo sapiens,brain tissue,Cytosol,0.396358685090047
HCG11,lncRNA,Homo sapiens,brain tissue,Cytosol,0.396358685090047
MAPKAPK5-AS1,lncRNA,Homo sapiens,brain tissue,Cytosol,0.396358685090047
LINC00844,lncRNA,Homo sapiens,brain tissue,Cytosol,0.396358685090047
LINC00847,lncRNA,Homo sapiens,brain tissue,Cytosol,0.396358685090047
LINC00920,lncRNA,Homo sapiens,brain tissue,Cytosol,0.396358685090047
LINC01094,lncRNA,Homo sapiens,brain tissue,Cytosol,0.396358685090047
NORAD,lncRNA,Homo sapiens,brain tissue,Cytosol,0.396358685090047
LINC01003,lncRNA,Homo sapiens,brain tissue,Cytosol,0.396358685090047
LINC00526,lncRNA,Homo sapiens,brain tissue,Cytosol,0.396358685090047
ILF3-DT,lncRNA,Homo sapiens,brain tissue,Cytosol,0.396358685090047
ATP2B1-AS1,lncRNA,Homo sapiens,brain tissue,Cytosol,0.396358685090047
LINC01023,lncRNA,Homo sapiens,brain tissue,Cytosol,0.396358685090047
LINC01106,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00311,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00174,lncRNA,Homo sapiens,brain tissue,Nucleus,0.815590988686444
LINC00304,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00334,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00482,lncRNA,Homo sapiens,brain tissue,Nucleus,0.90145991609349
LINC00313,lncRNA,Homo sapiens,brain tissue,Nucleus,0.815590988686444
LINC00158,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00265,lncRNA,Homo sapiens,brain tissue,Nucleus,0.815590988686444
LINC00910,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
C20orf204,lncRNA,Homo sapiens,brain tissue,Nucleus,0.795006069178413
IQANK1,lncRNA,Homo sapiens,brain tissue,Nucleus,0.795006069178413
LINC00501,lncRNA,Homo sapiens,brain tissue,Nucleus,0.90145991609349
LINC00862,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00222,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00951,lncRNA,Homo sapiens,brain tissue,Nucleus,0.795006069178413
LINC01310,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
EWSAT1,lncRNA,Homo sapiens,brain tissue,Nucleus,0.795006069178413
LINC00887,lncRNA,Homo sapiens,brain tissue,Nucleus,0.90145991609349
MEG3,lncRNA,Homo sapiens,brain tissue,Nucleus,0.968399985635632
MIR99AHG,lncRNA,Homo sapiens,brain tissue,Nucleus,0.969295483520611
LINC00598,lncRNA,Homo sapiens,brain tissue,Nucleus,0.90145991609349
MEG9,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00473,lncRNA,Homo sapiens,brain tissue,Nucleus,0.954983104551089
LINC00842,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
MIR503HG,lncRNA,Homo sapiens,brain tissue,Nucleus,0.962182309891882
SLC44A3-AS1,lncRNA,Homo sapiens,brain tissue,Nucleus,0.795006069178413
LINC00365,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
RASAL2-AS1,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00184,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
MIR137HG,lncRNA,Homo sapiens,brain tissue,Nucleus,0.890460238360382
JPX,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
CYP4A22-AS1,lncRNA,Homo sapiens,brain tissue,Nucleus,0.428658357070095
MIAT,lncRNA,Homo sapiens,brain tissue,Nucleus,0.942621128631126
LINC00115,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
LINC00937,lncRNA,Homo sapiens,brain tissue,Nucleus,0.396358685090047
