CircRNA,MDA-MB-231,MCF-7,averange,Chromosome,CircStart,CircEnd,Strand,Spliced seq length,Best transcript,Gene Symbol
hsa_circ_0009688,1014.974,1760.408,,chr1,10165573,10165802,+,229,ENST00000253251,UBE4B
hsa-circRNA8877-1,4161.921,3812.787,,chr1,192992973,192998787,-,486,ENST00000367455,UCHL5
hsa_circ_0112904,2095.288,1396.638,,chr1,25773252,25783322,+,572,ENST00000374343,TMEM57
hsa-circRNA8495-17,734.7353,1047.671,,chr1,47046201,47049001,-,200,ENST00000342571,MKNK1
hsa_circ_0011599,6.024141,17.23607,,chr1,36282482,36316654,+,2458,ENST00000373210,AGO4
hsa-circRNA379-1,130.1956,197.8798,,chr1,90048183,90050348,+,2165,ENST00000330947,LRRC8B
hsa-circRNA231-5,1492.743,2026.294,,chr1,41448949,41468848,+,1265,ENST00000372621,CTPS1
hsa_circ_0015377,743.6146,553.852,,chr1,176132004,176133027,-,197,ENST00000367669,RFWD2
hsa_circ_0113417,2930.645186,2534.031028,,chr1,44134770,44137546,+,571,ENST00000372396,KDM4A
hsa_circ_0113162,1286.246122,1400.285251,,chr1,35846861,35873760,+,26899,ENST00000314607,ZMYM4
hsa_circ_0010135,1236.573,1128.283,,chr1,16528276,16534093,-,1349,ENST00000270747,ARHGEF19
hsa-circRNA524-45,739.632,989.3081,,chr1,153713126,153730239,+,999,ENST00000456435,INTS3
hsa_circ_0016584,607.8398,327.016,,chr1,224553580,224567143,+,3901,ENST00000465271,CNIH4
hsa_circ_0014299,1878.612,2503.593,,chr1,153727117,153735323,+,777,ENST00000456435,INTS3
hsa_circ_0017102,699.2349548,12481.35343,,chr1,236175220,236175343,-,123,ENST00000264187,NID1
hsa_circ_0001987,326.3305,191.5912,,chr1,38047823,38049534,-,340,ENST00000373062,GNL2
hsa_circ_0111550,48.66861,246.5044,,chr1,190195211,190250880,-,725,ENST00000367462,BRINP3
hsa_circ_0113757,895.0291,3267.011,,chr1,61616499,61616608,+,109,ENST00000371191,NFIA
hsa_circ_0004060,502.4474,630.5497,,chr1,155385534,155385714,-,180,ENST00000368346,ASH1L
hsa-circRNA738-18,308.6453154,97.03940044,,chr1,213244347,213349835,+,939,ENST00000366959,RPS6KC1
hsa_circ_0113848,1742.071,1068.774,,chr1,63052177,63128801,-,1762,ENST00000251157,DOCK7
hsa_circ_0015969,7784.623,9467.49,,chr1,201972364,201972589,+,225,ENST00000295640,RNPEP
hsa_circ_0012119,107.3169,64.50731,,chr1,44432246,44433694,+,835,ENST00000372343,IPO13
hsa_circ_0014856,23405.5,21410.4,,chr1,159887902,159890327,-,1315,ENST00000368096,TAGLN2
hsa_circ_0111109,402.3508,276.2019,,chr1,169771761,169775229,+,460,ENST00000498289,C1orf112
hsa_circ_0113307,22264.14487,22028.67385,,chr1,39895662,39896541,+,879,ENST00000545844,MACF1
hsa-circRNA8337-1,3049.595,3388.077,,chr1,19705033,19712120,-,236,ENST00000401084,CAPZB
hsa-circRNA680-8,1374.427,710.8167,,chr1,200813909,200816420,+,171,ENST00000358823,CAMSAP2
hsa-circRNA187-4,2898.89,1701.28,,chr1,32797074,32797407,+,240,ENST00000373548,HDAC1
hsa-circRNA426-13,1936.705,860.9257,,chr1,109299311,109302707,+,257,ENST00000370008,STXBP3
hsa-circRNA8967-3,4295.93,4489.75,,chr1,226340035,226342534,-,472,ENST00000366812,ACBD3
hsa_circ_0015731,141.7361,1443.526,,chr1,186880379,186880521,+,142,ENST00000367466,PLA2G4A
hsa_circ_0113313,364.0312761,90.90671039,,chr1,39904937,39905164,-,227,ENST00000545844,MACF1
hsa_circ_0004619,325.0658,588.9606,,chr1,51121113,51210447,-,377,ENST00000396153,FAF1
hsa-circRNA220-44,647.6551,128.9566,,chr1,39747879,39766034,+,2106,ENST00000545844,MACF1
hsa_circ_0114102,14.82335,5.201488,,chr1,75966116,76007201,-,41085,ENST00000370859,SLC44A5
hsa_circ_0016998,169.0773712,427.0118419,,chr1,234367162,234367487,+,325,ENST00000366618,SLC35F3
hsa_circ_0016873,1968.682147,4465.65397,,chr1,230979099,230979642,-,543,ENST00000366663,C1orf198
hsa-circRNA220-69,1000.79,476.7433,,chr1,39796874,39847824,+,9234,ENST00000567887,MACF1
hsa_circ_0011072,12095.35,9223.556,,chr1,27739065,27739221,-,156,ENST00000430629,WASF2
hsa_circ_0114172,973.4913,949.1646,,chr1,78167053,78180468,-,464,ENST00000370794,USP33
hsa_circ_0016043,679.8707,799.6734,,chr1,202725485,202742416,-,951,ENST00000367265,KDM5B
hsa_circ_0010452,482.2806,393.4957,,chr1,21139650,21212864,-,2344,ENST00000264211,EIF4G3
hsa_circ_0015124,6763.028,7055.598,,chr1,167971719,167974031,+,475,ENST00000367843,DCAF6
hsa_circ_0013453,1387.36,1067.472,,chr1,109952549,109954557,-,249,ENST00000271308,PSMA5
hsa-circRNA826-2,2672.931,4886.744,,chr1,249138681,249139861,+,251,ENST00000306562,ZNF672
hsa_circ_0016236,2084.67,3281.742,,chr1,206646538,206653876,+,1459,ENST00000367120,IKBKE
hsa-circRNA8856-1,2645.211,913.4079,,chr1,177991574,177995390,-,413,ENST00000476232,-
hsa_circ_0011510,6.182234,15.92975,,chr1,34684286,34684731,+,445,ENST00000373374,C1orf94
hsa-circRNA8620-22,1224.762,1159.438,,chr1,100212849,100214324,-,333,ENST00000414213,FRRS1
hsa_circ_0010317,2269.551,2422.02,,chr1,19474486,19493725,-,3730,ENST00000375254,UBR4
hsa_circ_0010417,6.277945,5.149239,,chr1,20216877,20239437,+,6174,ENST00000375120,OTUD3
hsa_circ_0010191,20631.99,20859.27,,chr1,17736469,17749332,-,941,ENST00000375436,RCC2
hsa-circRNA631-13,756.2126,847.2183,,chr1,178269126,178414797,+,1297,ENST00000448150,RASAL2
hsa_circ_0114414,36.13624,91.53625,,chr1,90843598,90866435,-,22838,---,-
hsa_circ_0015364,176.9162,145.4805,,chr1,176050287,176055026,-,251,ENST00000367667,RFWD2
hsa_circ_0005068,180.6251,229.0727,,chr1,20082126,20113610,-,615,ENST00000294543,TMCO4
hsa-circRNA768-2,1375.81,699.9771,,chr1,224558984,224559125,+,141,ENST00000465271,CNIH4
hsa_circ_0009365,2266.115,3185.61,,chr1,2066700,2082417,+,542,ENST00000378567,PRKCZ
hsa_circ_0011897,93.57542,59.8234,,chr1,40758116,40759856,+,1740,ENST00000372759,ZMPSTE24
hsa_circ_0011924,598.8121,932.2352,,chr1,41457436,41466789,+,455,ENST00000372621,CTPS1
hsa-circRNA8998-9,210.0608,40.40561,,chr1,235866046,235894477,-,1573,ENST00000389794,LYST
hsa_circ_0004717,22299.02,24938.3,,chr1,154223516,154224129,+,451,ENST00000343815,UBAP2L
hsa_circ_0010353,5573.728,4154.054,,chr1,19495928,19501527,-,968,ENST00000375254,UBR4
hsa_circ_0005509,8411.77,4921.037,,chr1,21599191,21605825,-,355,ENST00000415912,ECE1
hsa-circRNA770-7,55.07481,5.147396,,chr1,225211316,225231491,+,707,ENST00000430092,DNAH14
hsa_circ_0110401,7348.428,7912.581,,chr1,110551655,110557479,+,555,ENST00000369799,AHCYL1
hsa_circ_0110441,1424.497,1680.954,,chr1,11270870,11276291,-,624,ENST00000361445,MTOR
hsa_circ_0017147,1020.592594,1251.510403,,chr1,236973802,236990196,+,586,ENST00000366577,MTR
hsa-circRNA8401-66,973.0516,922.9055,,chr1,31478699,31532424,-,731,ENST00000257075,PUM1
hsa_circ_0111555,38.27292,124.9227,,chr1,190423784,190424070,-,286,ENST00000367462,BRINP3
hsa_circ_0016506,309.4476,75.207,,chr1,220344233,220379348,-,2194,ENST00000358951,RAB3GAP2
hsa_circ_0114544,1573.202,771.9391,,chr1,94921288,94965170,+,1702,ENST00000454898,ABCD3
hsa-circRNA127-2,5655.683,3504.551,,chr1,25124232,25140710,+,236,ENST00000374379,CLIC4
hsa_circ_0013311,243.0746,99.47644,,chr1,100672000,100672192,-,192,ENST00000370132,DBT
hsa_circ_0010983,79.17264,173.4032,,chr1,26606212,26608013,+,1115,---,SH3BGRL3
hsa_circ_0113610,6.000873,11.41199,,chr1,52991234,52997080,-,5846,ENST00000257177,ZCCHC11
hsa_circ_0002577,1986.851,860.3094,,chr1,224599128,224607317,-,394,ENST00000414423,WDR26
hsa_circ_0011176,2776.531,2437.843,,chr1,29424318,29424447,+,129,ENST00000398863,EPB41
hsa_circ_0114083,180.2338,82.73403,,chr1,74929124,74957950,+,340,ENST00000557284,FPGT-TNNI3K
hsa_circ_0015089,284.1379,449.4453,,chr1,166827355,166833158,-,623,ENST00000367874,TADA1
hsa_circ_0112119,97.06531,617.9327,,chr1,223437971,223438160,-,189,ENST00000343846,SUSD4
hsa_circ_0013175,1373.723,376.7867,,chr1,93201954,93257961,-,291,ENST00000370331,EVI5
hsa_circ_0014677,48059.94,42857.36,,chr1,156105691,156105912,+,221,ENST00000368301,LMNA
hsa_circ_0014865,10735.21,2770.265,,chr1,160181332,160185162,+,2281,ENST00000360472,PEA15
hsa-circRNA606-2,193.5747,144.5992,,chr1,165854378,165854616,+,238,ENST00000367879,UCK2
hsa_circ_0009241,209.8154,274.2279,,chr1,1152287,1159348,-,1483,ENST00000360001,SDF4
hsa_circ_0009817,5634.721,7766.318,,chr1,11199360,11316249,-,4626,ENST00000361445,MTOR
hsa-circRNA8245-10,958.959,703.63,,chr1,1247605,1248504,-,566,ENST00000435064,CPSF3L
hsa_circ_0015006,3386.949,5817.613,,chr1,161298185,161298287,+,102,ENST00000367975,SDHC
hsa_circ_0015668,523.0793,518.3835,,chr1,185116313,185121067,-,290,ENST00000367504,TRMT1L
hsa_circ_0012597,53.41356,53.10551,,chr1,54231133,54254869,-,2899,ENST00000371429,NDC1
hsa_circ_0009718,1667.02,1282.352,,chr1,10425157,10425706,+,386,ENST00000263934,KIF1B
hsa_circ_0015981,1160.704,1597.836,,chr1,202385914,202400747,+,850,ENST00000608999,PPP1R12B
hsa_circ_0013113,6241.92,226.479,,chr1,89474629,89481097,-,1469,ENST00000370481,GBP3
hsa_circ_0012054,1043.373,1502.784,,chr1,43891505,43898861,+,2819,ENST00000562955,SZT2
hsa_circ_0113416,2781.666631,2654.04469,,chr1,44131366,44137546,+,1111,ENST00000372396,KDM4A
hsa_circ_0112043,156.2193,93.92252,,chr1,220344233,220346084,-,496,ENST00000358951,RAB3GAP2
hsa_circ_0014347,167.5621,198.6249,,chr1,153931587,153933230,-,1643,ENST00000310483,SLC39A1
hsa_circ_0000121,7952.435,10415.01,,chr1,120285606,120286575,-,969,ENST00000369409,PHGDH
hsa_circ_0113163,123.1704952,136.1602573,,chr1,35847146,35854683,+,1080,ENST00000314607,ZMYM4
hsa_circ_0013819,18154.7,12147.54,,chr1,144594403,144827105,+,23104,ENST00000440491,NBPF9
hsa_circ_0016585,440.333,241.042,,chr1,224563496,224567143,+,3647,ENST00000465271,CNIH4
hsa_circ_0011914,183.7083,316.7509,,chr1,41232267,41232646,+,165,ENST00000425457,NFYC
hsa-circRNA8902-20,624.0951,759.1685,,chr1,202709801,202736188,-,2508,ENST00000367265,KDM5B
hsa_circ_0016835,2928.121,618.6669,,chr1,229750087,229750232,-,145,ENST00000258281,TAF5L
hsa-circRNA199-13,19.21561292,112.2600611,,chr1,35814866,35815138,+,272,ENST00000314607,ZMYM4
hsa_circ_0110123,3582.768,1463.161,,chr1,100340242,100347247,+,1350,ENST00000361915,AGL
hsa-circRNA8343-3,104.2554,278.4462,,chr1,20996913,21014437,-,1412,ENST00000375044,KIF17
hsa-circRNA435-8,2660.687,1382.976,,chr1,110116517,110121983,+,300,ENST00000369851,GNAI3
hsa-circRNA295-17,380.0306,690.4709,,chr1,53245524,53262063,+,483,ENST00000443756,ZYG11B
hsa-circRNA8934-1,1085.185,1227.215,,chr1,210970849,210971102,-,253,ENST00000271751,KCNH1
hsa-circRNA8467-17,12813.11,11830.3,,chr1,42664772,42744343,-,715,ENST00000372572,FOXJ3
hsa_circ_0014712,2493.588,1983.097,,chr1,156281831,156304709,-,1062,ENST00000295688,CCT3
